file	title	source	site	artist	category	page_title
后会无期.txt	后会无期	jianpucn-265626	jianpucn	邓紫棋		后会无期 邓紫棋 歌谱简谱网
请你喝杯下马酒.txt	请你喝杯下马酒	jianpucn-265764	jianpucn	降央卓玛		请你喝杯下马酒 降央卓玛 歌谱简谱网
丝路风情.txt	丝路风情	jianpucn-265868	jianpucn	张也		丝路风情 张也 歌谱简谱网
待嫁的新娘.txt	待嫁的新娘	jianpucn-265933	jianpucn	凤凰传奇		待嫁的新娘 凤凰传奇 歌谱简谱网
爱的天下.txt	爱的天下	jianpucn-266088	jianpucn	凤凰传奇		爱的天下 凤凰传奇 歌谱简谱网
伤心证明书.txt	伤心证明书	jianpucn-266188	jianpucn	陈奕迅		伤心证明书 陈奕迅 歌谱简谱网
策马扬鞭.txt	策马扬鞭	jianpucn-266193	jianpucn	凤凰传奇		策马扬鞭 凤凰传奇 歌谱简谱网
最好的时代.txt	最好的时代	jianpucn-266259	jianpucn	凤凰传奇		最好的时代 凤凰传奇 歌谱简谱网
雪山盟.txt	雪山盟	jianpucn-266285	jianpucn	费玉清		雪山盟 费玉清 歌谱简谱网
珠海的楼房.txt	珠海的楼房	jianpucn-266301	jianpucn	李谷一		珠海的楼房 李谷一 歌谱简谱网
天路精华版.txt	天路精华版	jianpucn-266342	jianpucn	韩红		天路精华版 韩红 歌谱简谱网
Always_Online.txt	Always Online	jianpucn-266349	jianpucn	林俊杰		Always Online 林俊杰 歌谱简谱网
金色航程.txt	金色航程	jianpucn-266757	jianpucn	韩磊		金色航程 韩磊 歌谱简谱网
梦草原-_新歌.txt	梦草原- 新歌	jianpucn-266840	jianpucn	蒋大为		梦草原- 新歌 蒋大为 歌谱简谱网
梦草原_—.txt	梦草原 —	jianpucn-266874	jianpucn	蒋大为		梦草原 — （两版本） 蒋大为 歌谱简谱网
人民在我心中.txt	人民在我心中	jianpucn-267336	jianpucn	阎维文		人民在我心中 阎维文 歌谱简谱网
亲亲祖国.txt	亲亲祖国	jianpucn-267537	jianpucn	阎维文		亲亲祖国（） 阎维文 歌谱简谱网
琉璃.txt	琉璃	jianpucn-268125	jianpucn	孟庭苇		琉璃 孟庭苇 歌谱简谱网
无处可藏.txt	无处可藏	jianpucn-268478	jianpucn	孟庭苇		无处可藏 孟庭苇 歌谱简谱网
跟影子说.txt	跟影子说	jianpucn-268679	jianpucn	孟庭苇		跟影子说 孟庭苇 歌谱简谱网
原本今生以为.txt	原本今生以为	jianpucn-268706	jianpucn	孟庭苇		原本今生以为 孟庭苇 歌谱简谱网
北大仓.txt	北大仓	jianpucn-268727	jianpucn	阎维文		北大仓 阎维文 歌谱简谱网
去者.txt	去者	jianpucn-270975	jianpucn	刘欢		去者（电视剧《胡雪岩》主题歌） 刘欢 歌谱简谱网
天机.txt	天机	jianpucn-271737	jianpucn	张学友		天机 张学友 歌谱简谱网
蓝雨.txt	蓝雨	jianpucn-271964	jianpucn	张学友		蓝雨 张学友 歌谱简谱网
让你愉快.txt	让你愉快	jianpucn-271965	jianpucn	张学友		让你愉快 张学友 歌谱简谱网
香港你好.txt	香港你好	jianpucn-272258	jianpucn	阎维文		香港你好 阎维文 歌谱简谱网
写不完的温柔.txt	写不完的温柔	jianpucn-272401	jianpucn	邓紫棋		写不完的温柔 邓紫棋 歌谱简谱网
生死永不分.txt	生死永不分	jianpucn-272402	jianpucn	蔡幸娟		生死永不分 蔡幸娟 歌谱简谱网
不到天荒情不老.txt	不到天荒情不老	jianpucn-272404	jianpucn	蔡幸娟		不到天荒情不老 蔡幸娟 歌谱简谱网
这么近那么远.txt	这么近那么远	jianpucn-272599	jianpucn	张靓颖		这么近那么远 张靓颖 歌谱简谱网
杵.txt	杵	jianpucn-273266	jianpucn	歌 高胜美		杵 歌 高胜美 歌谱简谱网
心中的遵义.txt	心中的遵义	jianpucn-273284	jianpucn	王宏伟		心中的遵义 王宏伟 歌谱简谱网
总有爱国语版.txt	总有爱国语版	jianpucn-273294	jianpucn	一辈子陪你走 beyond		总有爱国语版-一辈子陪你走 beyond 歌谱简谱网
扁担歌.txt	扁担歌	jianpucn-273359	jianpucn	》 韩磊		《开国元勋朱德》片尾曲《扁担歌》 韩磊 歌谱简谱网
梦圆中国】彩谱】.txt	梦圆中国】彩谱】	jianpucn-273411	jianpucn	张也		梦圆中国】彩谱】 张也 歌谱简谱网
吉祥如意.txt	吉祥如意	jianpucn-273466	jianpucn	凤凰传奇		吉祥如意 凤凰传奇 歌谱简谱网
红高粱.txt	红高粱	jianpucn-273884	jianpucn	韩红		红高粱（电视剧《红高粱》片尾主题曲） 韩红 歌谱简谱网
