source	site	判定	http	备注	最终地址	原URL	页面标题	语料曲名
qupu123-331109	qupu123	ok(曲名命中)	200		https://www.qupu123.com/tongsu/sanzi/p331109.html	https://www.qupu123.com/tongsu/sanzi/p331109.html	中国通 _通俗曲谱_中国曲谱网	中国通
jianpucn-35420	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/35/35420.htm	http://www.jianpu.cn/pu/35/35420.htm	丰碑 歌谱简谱网	丰碑
qupu123-333433	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/sizi/p333433.html	https://www.qupu123.com/minge/sizi/p333433.html	中国高度 _民歌曲谱_中国曲谱网	中国高度
jianpucn-206318	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/20/206318.htm	http://www.jianpu.cn/pu/20/206318.htm	丹凤朝阳 歌谱简谱网	丹凤朝阳
qupu123-312486	qupu123	ok(曲名命中)	200		https://www.qupu123.com/tongsu/liuzi/p312486.html	https://www.qupu123.com/tongsu/liuzi/p312486.html	中国龙中国风 （李昌明词 王立东曲）_通俗曲谱_中国曲谱网	中国龙中国风
jianpucn-451816	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/45/451816.htm	http://www.jianpu.cn/pu/45/451816.htm	为了家园 阎维文 歌谱简谱网	为了家园
jianpujia-149662	jianpujia	ok(曲名命中)	200		https://www.jianpujia.com/jianpu/149662.html	https://www.jianpujia.com/jianpu/149662.html	为了遇见你钢琴简谱_薛之谦演唱-免费下载-简谱之家	为了遇见你
jianpucn-188726	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/18/188726.htm	http://www.jianpu.cn/pu/18/188726.htm	为了家园更美好 歌谱简谱网	为了家园更美好
qupu123-335010	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/sizi/p335010.html	https://www.qupu123.com/minge/sizi/p335010.html	中国，中国 （石作良词 武俊毅曲）_民歌曲谱_中国曲谱网	中国，中国
jianpucn-440864	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/44/440864.htm	http://www.jianpu.cn/pu/44/440864.htm	为了这个家 蒋大为 歌谱简谱网	为了这个家
qupu123-336024	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/sanzi/p336024.html	https://www.qupu123.com/minge/sanzi/p336024.html	丰收谣 （江苏江都民歌）_民歌曲谱_中国曲谱网	丰收谣
